,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
-,,耗材,採血管,  SST(紅灰),50,支,100支/盒,BD,238,316,2026/3/31,2026/3/5,-78,,,,,,,,238,-78,,,2026/3/31,已過期或即將過期,
請叫貨,,耗材,採血管, K2 EDAT(紫) (10 ml),50,支,100支/盒,BD,37,37,2026/10/30,,,,,,,,,,37,0,,,2026/10/30, ,
-,,耗材,採血管, K2 EDAT(紫) (3 ml),50,支,100支/盒,BD,63,104,2026/7/31,2026/3/5,-41,,,,,,,,63,-41,,,2026/7/31, ,
-,,耗材,採血管, Haprin (綠) (4 ml),50,支,100支/盒,BD,94,163,2026/6/30,2026/3/5,-69,,,,,,,,94,-69,,,2026/6/30, ,
請叫貨,,耗材,採血管, Haprin (綠) (10 ml),30,支,100支/盒,BD,2,2,2026/9/30,,,,,,,,,,2,0,,,2026/9/30, ,
-,,耗材,採血管, K2 EDTA(紫) (6 ml),20,個,100支/盒,BD,32,33,2026/5/31,2026/3/5,-1,,,,,,,,32,-1,,,2026/5/31, ,
-,,耗材,採血袋, 採血袋(CPDA-1)(250ml),8,個,8個/袋,JMS,48,48,2027/8/28,,,,,,,,,,48,0,,,2027/8/28, ,
-,,耗材,IV用,三通,50,個,50個/盒,TOP,66,66,2029/2/28,,,,,,,,,,66,0,,,2029/2/28, ,
請叫貨,,耗材,氣導管,8.0號氣導管,1,盒,10盒/箱，10支/盒,unomedical,1,1,2019/6/1,,,,,,,,,,1,0,,,2019/6/1,已過期或即將過期,
-,,耗材,氣導管,7.0號氣導管,1,盒,10盒/箱，10支/盒,unomedical,15,15,2018/2/1,,,,,,,,,,15,0,,,2018/2/1,已過期或即將過期,
-,,耗材,氣導管,6.5號氣導管,1,盒,10盒/箱，10支/盒,unomedical,47,47,2018/2/1,,,,,,,,,,47,0,,,2018/2/1,已過期或即將過期,
-,,耗材,氣導管,6.0號氣導管,1,盒,10盒/箱，10支/盒,unomedical,11,11,2018/2/1,,,,,,,,,,11,0,,,2018/2/1,已過期或即將過期,
請叫貨,,耗材,氣導管,5.0號氣導管,1,盒,10盒/箱，10支/盒,unomedical,1,1,2018/12/1,,,,,,,,,,1,0,,,2018/12/1,已過期或即將過期,
-,,耗材,TUBE,抗凍管,2,包,50個/包,Thermo,8,8,2019/3/1,,,,,,,,,,8,0,,,2019/3/1,已過期或即將過期,
-,,耗材,TUBE,2 ml eppendorf,0.5,包,1000個/包,TreffLab,2,2,,,,,,,,,,,2,0,,,, ,
-,,耗材,TUBE,1.5 mL eppendorf,0.5,包,1000支/包,,2,2,,,,,,,,,,,2,0,,,, ,
-,,耗材,TUBE,15 ml 離心管,1,包,50支/包,BD,13,13,,,,,,,,,,,13,0,,,, ,
-,,耗材,TUBE,50 ml 離心管,1,包,25支/包，10包/箱,labcon,15,15,2026/9/30,,,,,,,,,,15,0,,,2026/9/30, ,
-,,耗材,SUCTION,Suction tip,2,包,100支/包,,15,15,,,,,,,,,,,15,0,,,, ,
-,,耗材,SUCTION,Suction tube,40,條,180cm，80條/箱 ,太平洋,70,80,2028/5/29,2026/3/2,-10,,,,,,,,70,-10,,,2028/5/29, ,
-,,耗材,其他,超音波導電膠(CG 955),0.5,瓶,250ml/瓶，24瓶/箱,旭宇,46,46,2024/9/7,,,,,,,,,,46,0,,,2024/9/7,已過期或即將過期,
請叫貨,,耗材,其他,CIDEX,4,瓶,5L/瓶,ANIOS,0,0,2028/10/20,,,,,,,,,,0,0,,,2028/10/20, ,
-,,耗材,其他,Soda sorb,2,瓶,5L/瓶,GRACE,3,3,2029/6/11,,,,,,,,,,3,0,,,2029/6/11, ,
請叫貨,,耗材,其他,滴管,2,包,500支/包,,1,1,,,,,,,,,,,1,0,,,, ,
-,,藥品,管制藥,舒泰Zoletil-50,60,瓶,12 瓶/組,台灣維克,156,170,2029/10/26,2026/3/5,-14,,,,,,,,156,-14,,,2029/10/26, ,
-,,藥品,管制藥,畜舒坦Stroless,5,瓶,5瓶/組，100 ml/瓶,中國化學製藥,6,8,2028/5/7,2026/3/5,-2,,,,,,,,6,-2,,,2028/5/7, ,
-,,藥品,管制藥,Isoflurane,8,瓶,250ml/瓶，4瓶/盒,寶齡富錦生技,15,21,2028/2/16,2026/3/5,-6,,,,,,,,15,-6,,,2028/2/16, ,
-,,藥品,管制藥,atropine (1 mg/ml),100,瓶,100 安瓶/盒,信東,400,400,2028/10/2,,,,,,,,,,400,0,,,2028/10/2, ,
-,,藥品,管制藥,KCl(15%),10,瓶,50 安瓶/盒,信東,64,65,2028/6/26,2026/3/5,-1,,,,,,,,64,-1,,,2028/6/26, ,
-,,藥品,止痛藥,Meloxicam(免你痛錠),300,顆,15 mg/顆，1000顆/盒,寶齡富錦生技,900,900,2028/2/6,,,,,,,,,,900,0,,,2028/2/6, ,
-,,藥品,抗凝血,"亞魯特注射液
Sodium Heparin (5000U/ml)",5,瓶,10瓶/盒，5 ml/瓶,中化製藥,42,42,2026/10/8,,,,,,,,,,42,0,,,2026/10/8, ,
